"","Player","Nation","Pos","Squad","Age","League","Year","DefPred"
"293","L. James","Varijitri Isles","DF","Somber Stallions",22,"B","2020",11.6609
"423","H. Arthur","Quewenia","DF","Little Lollipops",22,"C","2020",11.6609
"360","V. Koller","Coastpa Barleslands","DFFW","Weak Blimps",23,"B","2020",11.6626333333333
"841","K. Owiny","Nganion","DF","Mad Bees",22,"E","2020",11.6690666666667
"1125","Z. Chipeta","Esia","DF","Mighty Jays",28,"A","2021",11.6693
"700","F. Berger","Sobianitedrucy","DF","Rowdy Clippers",21,"D","2020",11.6786333333333
"1615","S. Sabano","Danan Seekeeling","DF","Weak Chargers",23,"C","2021",11.6809333333333
"1606","K. Marufu","Imaar Vircoand","DF","Ultimate Longhorns",34,"C","2021",11.6822333333333
"1749","R. Rossi","Western Niasland","DFFW","Marvelous Heels",27,"D","2021",11.6826
"1786","O. Mudzingwa","Sobianitedrucy","DF","Red Rangers",20,"D","2021",11.6853333333333
"1319","S. Agustina","Lefghau","DF","Serious Thunderbirds",29,"B","2021",11.6917
"436","Z. Quek Kwik","Esia","DFMF","Marvelous Anchors",23,"C","2020",11.7184333333333
"2128","E. Naik","Nganion","DF","Marvelous Coyotes",19,"RFL","2021",11.7192666666667
"951","H. Kajumba","Nganion","DF","Swift Bison",21,"E","2020",11.7206666666667
"754","M. Atuhaire","Nancipenuaroe","DF","Sugar Bengals",30,"D","2020",11.739
"1567","E. Byekwaso","Nganion","DF","Spicy Gophers",23,"C","2021",11.7477
"2029","R. Rossi","Western Niasland","DF","Rabid Greyhounds",27,"E","2021",11.7571
"561","I. Nuwamanya","Sobianitedrucy","DF","Deranged Defenders",31,"D","2020",11.7593666666667
"2106","A. Hasibuan","Rarita","DF","Educated Avengers",26,"RFL","2021",11.7620333333333
"1471","N. binti Sulaiman","Esia","DF","Fiery Governors",20,"C","2021",11.7643666666667
"1440","P. Konadu","Giumle Lizeibon","DF","Awkward Trailblazers",22,"C","2021",11.7690666666667
"428","G. Wahab","Dosqaly","DF","Marvelous Anchors",29,"C","2020",11.7824333333333
"347","U. Heilig","Dosqaly","DF","Villainous Eagles",30,"B","2020",11.7936666666667
"2009","G. Namakula","Nganion","MFDF","Polar Kangaroos",25,"E","2021",11.7946
"1501","P. Naiga","Xikong","DF","Little Lollipops",34,"C","2021",11.797
"495","X. Kurnia","Esia","DF","Supreme Jaguars",30,"C","2020",11.8119333333333
"985","T. Larsson","Rarita","DF","Black Coyotes",19,"RFL","2020",11.8173333333333
"187","L. Mulyani","Dosqaly","DF","Glistening Paladins",32,"B","2020",11.8265333333333
"235","M. Namale","Redohrainbri","DF","Lady Ocelots",28,"B","2020",11.8287666666667
"1494","T. Nakku","Byasier Pujan","DFFW","Horrible Flames",19,"C","2021",11.8309666666667
"1676","O. Ahamad","Sobianitedrucy","DF","Coy Sunbirds",26,"D","2021",11.8316666666667
"1657","I. Leibowitz","Imaar Vircoand","DF","Coy Catamarans",26,"D","2021",11.835
"1970","N. Quinn","Nganion","DF","Mad Kingsmen",24,"E","2021",11.8399
"939","P. Okoth","Nganion","DF","Serious Magicians",29,"E","2020",11.844
"396","Q. Roche","Giumle Lizeibon","MFDF","Blue Jaguars",23,"C","2020",11.8452333333333
"1432","L. bin Osman","Dosqaly","DF","Wet Monarchs",28,"B","2021",11.8487666666667
"1943","C. Nakitto","Nganion","DF","Horrible Bison",34,"E","2021",11.8512333333333
"2178","W. Yeoh","Rarita","DF","Wild Hornets",29,"RFL","2021",11.854
"166","F. Fujihara","People's Land of Maneau","DF","Swift Musketeers",22,"A","2020",11.8553
"998","J. Jackson","Rarita","DF","Golden Cadets",26,"RFL","2020",11.867
"2135","H. Lo","Rarita","DF","Red Anchormen",26,"RFL","2021",11.8732666666667
"886","V. Salim","Janmico","DF","Polar Kangaroos",24,"E","2020",11.8776333333333
"539","S. Onencan","Janmico","DF","White Firebirds",21,"C","2020",11.8874
"1493","L. Kav?i?","Western Niasland","DF","Horrible Flames",28,"C","2021",11.8925666666667
"901","L. Dube","Nganion","DF","Punctual Leopards",24,"E","2020",11.8930333333333
"831","L. Adikini","Nganion","DF","Horrible Bison",27,"E","2020",11.9038
"475","G. Gaby","Lenia Gerdanho","DF","Silver Frogs",26,"C","2020",11.9040333333333
"1703","P. Mlotshwa","Sobianitedrucy","MFDF","Fighting Wave",22,"D","2021",11.9052666666667
"1655","S. Musoki","Central Diasongo","DF","Coy Catamarans",27,"D","2021",11.9073666666667
"1300","K. Ber","Dosqaly","DF","Overconfident Kangaroos",19,"B","2021",11.9246
"172","A. Andama","Byasier Pujan","DF","Flawless Cows",19,"B","2020",11.9264333333333
"1739","N. Alum","Imaar Vircoand","DF","Marvelous Heels",30,"D","2021",11.9274666666667
"659","J. Ejang","Nkasland Cronestan","DF","Punctual Fire",33,"D","2020",11.9276333333333
"308","A. Schmidt","Dosqaly","DF","Swift Rustlers",26,"B","2020",11.9291
"2099","K. Nalwanga","Rarita","DF","Black Coyotes",21,"RFL","2021",11.9325666666667
"142","F. Fujihara","People's Land of Maneau","DF","Stacked Rocks",22,"A","2020",11.9398333333333
"41","K. Nalwanga","Rarita","DFMF","Green Fleet",20,"A","2020",11.9507
"1847","P. Mlotshwa","Sobianitedrucy","DF","Strange Pioneers",22,"D","2021",11.9524333333333
"1679","E. Wabwire","Southern Ristan","DF","Coy Sunbirds",20,"D","2021",11.9552
"1955","O. Akia","Nganion","DF","Mad Bees",28,"E","2021",11.9813
"811","K. bin Ali","Nganion","FWDF","Festive Governors",16,"E","2020",11.9869333333333
"147","D. Nishimura","People's Land of Maneau","DFMF","Stacked Rocks",25,"A","2020",11.9975333333333
"119","Y. Deng","People's Land of Maneau","DF","Solemn Cougars",21,"A","2020",11.998
"8","L. Rezaei","People's Land of Maneau","DF","Fanatical Outlaws",29,"A","2020",11.9988333333333
"1547","D. Nabbosa","Nkasland Cronestan","DF","Serious Cyclones",35,"C","2021",12.0013666666667
"1789","D. Soliman","Sobianitedrucy","DFMF","Red Rangers",17,"D","2021",12.0028
"987","S. Rizzo","Sobianitedrucy","DF","Black Coyotes",22,"RFL","2020",12.0078333333333
"607","D. Adu","Esia","DF","Marvelous Heels",25,"D","2020",12.0262333333333
"1677","T. Okoro","Sobianitedrucy","DF","Coy Sunbirds",26,"D","2021",12.0361666666667
"2068","D. Jena","Nganion","DF","Serious Magicians",27,"E","2021",12.0407666666667
"545","F. Rácz","Greri Landmoslands","DF","Coy Sunbirds",37,"D","2020",12.0560333333333
"1788","W. Alghamdi","Quewenia","DFMF","Red Rangers",21,"D","2021",12.0582
"773","O. Juárez","Sobianitedrucy","DF","Wet Flames",17,"D","2020",12.0683333333333
"2020","E. Kalungi","Western Niasland","DF","Punctual Leopards",28,"E","2021",12.0711333333333
"2000","V. Akoli","Lefghau","DF","Polar Kangaroos",22,"E","2021",12.0734333333333
"270","S. Nalugwa","Biarizea","DF","Simple Privateers",32,"B","2020",12.0735666666667
"1565","M. Dufour","Esia","DF","Spicy Gophers",30,"C","2021",12.0784333333333
"881","D. Pal","Nganion","DF","Plane Janes",28,"E","2020",12.0798
"627","L. Van Dijk, Van Dyk","Sobianitedrucy","DF","Marvelous Patriots",16,"D","2020",12.0905
"2132","K. Pawar","Eastern Niasland","DF","Red Anchormen",28,"RFL","2021",12.0936666666667
"2104","T. Okoro","Rarita","DF","Black Coyotes",26,"RFL","2021",12.0999666666667
"1951","X. Smith","Nganion","DF","Horrible Bison",22,"E","2021",12.1033
"1556","F. Mawa","Manlisgamncent","DF","Silver Frogs",22,"C","2021",12.1037333333333
"225","G. Sande","Central Diasongo","DF","Jumping Beans",23,"B","2020",12.1128333333333
"1528","X. Mkandawire","Esia","DF","Punctual Archers",20,"C","2021",12.1158666666667
"1732","Y. Oppong","Sobianitedrucy","DF","Hideous Spartans",20,"D","2021",12.1190666666667
"711","D. Onzia","Desaintko","DF","Serious Ranchers",28,"D","2020",12.1206
"452","X. K?avi?š","Esia","DF","Punctual Archers",33,"C","2020",12.1257333333333
"23","H. Akugizibwe","People's Land of Maneau","DF","Great Galactic Gorgons",25,"A","2020",12.129
"591","F. Nyiramahoro","Sobianitedrucy","DF","Flying Bombadiers",19,"D","2020",12.1334666666667
"732","F. Yusuf","Sobianitedrucy","DF","Spicy Pointers",25,"D","2020",12.1557
"1580","X. Kurnia","Esia","DF","Supreme Jaguars",31,"C","2021",12.1624666666667
"1835","I. Chawinga","Sobianitedrucy","MFDF","Spicy Pointers",21,"D","2021",12.1634666666667
"1667","X. Tambala","Dosqaly","DF","Coy Sunbirds",31,"D","2021",12.1640666666667
"1243","L. Mulyani","Dosqaly","DF","Glistening Paladins",33,"B","2021",12.1725666666667
"1825","L. Vanags","Sobianitedrucy","DF","Spicy Pointers",33,"D","2021",12.1875333333333
"1443","Q. Busobozi","Varijitri Isles","DF","Awkward Trailblazers",31,"C","2021",12.1899333333333
"2064","O. Gatti","Nganion","DFMF","Screaming Ramblers",23,"E","2021",12.1962666666667
"1827","O. Ahamad","Sobianitedrucy","DF","Spicy Pointers",26,"D","2021",12.1980333333333
"419","C. Denis","Esia","DF","Little Lollipops",29,"C","2020",12.204
"585","H. Bhebhe","Byasier Pujan","DF","Flying Bombadiers",26,"D","2020",12.2118
"310","Y. Meyer","Nkasland Cronestan","DF","Swift Rustlers",31,"B","2020",12.2215333333333
"1893","O. Gatti","Nganion","DFFW","Deferred Dolphins",23,"E","2021",12.2299333333333
"1177","Y. Deng","People's Land of Maneau","DF","Solemn Cougars",22,"A","2021",12.2316333333333
"14","I. Ludwig","People's Land of Maneau","DF","Fighting Cougars",27,"A","2020",12.2320666666667
"1624","H. Asaba","Esia","DFMF","Weak Chargers",18,"C","2021",12.2320666666667
"316","L. Chifamba","Lefghau","DFMF","Swift Rustlers",26,"B","2020",12.2338666666667
"320","J. Delemovi?","Dosqaly","DF","Unaccountable Foxes",24,"B","2020",12.2401
"1370","H. Romero","Coastpa Barleslands","DF","Swift Rustlers",23,"B","2021",12.2493333333333
"1607","B. Abalo","Lefghau","DF","Ultimate Longhorns",21,"C","2021",12.2497
"245","Y. Koay","Reugha","DF","Overconfident Kangaroos",27,"B","2020",12.2558666666667
"515","W. Longwe","Giumle Lizeibon","DF","Ultimate Longhorns",26,"C","2020",12.2581333333333
"114","S. Kasamba","Greri Landmoslands","DF","Solemn Cougars",25,"A","2020",12.2602666666667
"284","F. Kobugabe","Dosqaly","DFMF","Solemn Leopards",19,"B","2020",12.2624666666667
"466","G. Jumbe","Imaar Vircoand","DFMF","Serious Cyclones",20,"C","2020",12.2709666666667
"903","T. Lawino","Nganion","DF","Punctual Leopards",28,"E","2020",12.2836333333333
"117","F. Kalule","People's Land of Maneau","DF","Solemn Cougars",22,"A","2020",12.2856666666667
"543","W. Zarei","Slandsganiamayotteque","MFDF","White Firebirds",20,"C","2020",12.2952333333333
"608","O. Andoh","Esia","DF","Marvelous Heels",20,"D","2020",12.2962333333333
"348","U. bin Salleh","Unicorporated Tiagascar","DF","Villainous Eagles",29,"B","2020",12.2975
"186","A. Nabuuma","Dosqaly","DF","Glistening Paladins",21,"B","2020",12.3055
"2088","H. Nieminen","Lefghau","DF","Ultimate Penguins",21,"E","2021",12.3155
"389","J. Anguko","Quewenia","DF","Blue Jaguars",27,"C","2020",12.3164333333333
"1394","B. Nassozi","Dosqaly","DF","Unethical Comets",35,"B","2021",12.324
"1946","H. Lo","Nganion","DF","Horrible Bison",26,"E","2021",12.3277666666667
"760","R. Song","Sobianitedrucy","DF","Sugar Bengals",17,"D","2020",12.3440333333333
"2032","N. Sadeghi","Imaar Vircoand","DFMF","Rabid Greyhounds",30,"E","2021",12.3471
"596","D. Kos","Nkasland Cronestan","DF","Hideous Spartans",19,"D","2020",12.3487
"323","U. Arthur","Lefghau","DF","Unaccountable Foxes",30,"B","2020",12.3503666666667
"1306","X. Ssemakula","Central Namemo Laand","DF","Serious Thunderbirds",22,"B","2021",12.3531333333333
"1773","E. De Luca","Sobianitedrucy","DF","Mighty Monkeys",26,"D","2021",12.3533666666667
"729","N. Atai","Mico","DF","Spicy Pointers",28,"D","2020",12.3546333333333
"565","E. Poto?nik","Biarizea","DF","Fighting Clippers",28,"D","2020",12.3636
"311","O. Bošnjak","Northern Namemo Laand","DF","Swift Rustlers",25,"B","2020",12.3681
"2170","E. Bahrami","Rarita","DF","Wild Hornets",22,"RFL","2021",12.3758333333333
"1738","B. binti Othman","Imaar Vircoand","DF","Marvelous Heels",22,"D","2021",12.3834
"59","C. Nyaketcho","Southern Ristan","DF","Horrible Storm",24,"A","2020",12.3887333333333
"1462","X. Walusimbi","Lefghau","FWDF","Blue Jaguars",23,"C","2021",12.3921333333333
"230","N. Kayemba","Central Namemo Laand","DF","Lady Ocelots",34,"B","2020",12.4048666666667
"1818","T. Bhebhe","Sobianitedrucy","DFMF","Serious Ranchers",35,"D","2021",12.4072666666667
"1620","A. Al-Ghamdi","Ledian","DF","Weak Chargers",33,"C","2021",12.4114666666667
"1210","P. Byamukama","People's Land of Maneau","DF","Swift Musketeers",30,"A","2021",12.4124333333333
"1958","Y. Okori","Nganion","DF","Mad Bees",31,"E","2021",12.4176
"2076","H. Jovanovi?","Dosqaly","DF","Swift Bison",23,"E","2021",12.4281
"1610","Y. Romano","Slandsganiamayotteque","DF","Ultimate Longhorns",30,"C","2021",12.429
"1265","O. Barone","Biarizea","DF","Jumping Beans",32,"B","2021",12.4295666666667
"699","W. ?ta","Lefghau","DF","Rowdy Clippers",26,"D","2020",12.4341
"248","X. Ssemakula","Central Namemo Laand","DF","Serious Thunderbirds",21,"B","2020",12.4352333333333
"1456","S. Oduro","Republic of Denand Landsa","DF","Blue Jaguars",25,"C","2021",12.4354333333333
"335","L. Kalni?š","Lefghau","DF","Unethical Comets",41,"B","2020",12.4385
"141","E. Patra","People's Land of Maneau","DF","Stacked Rocks",19,"A","2020",12.4491
"1947","I. Tng","Nganion","DF","Horrible Bison",23,"E","2021",12.4579666666667
"1585","I. Ssentongo","Varijitri Isles","DF","Supreme Jaguars",20,"C","2021",12.4653
"189","P. Amaniyo","Dosqaly","DF","Glistening Paladins",26,"B","2020",12.4679666666667
"1470","L. Khachatryan","Esia","DF","Fiery Governors",32,"C","2021",12.4740666666667
"1799","I. Wenene","Slandsganiamayotteque","DF","Remarkable Flames",19,"D","2021",12.4742
"100","T. Kafuko","Southslands","DF","Punctual Rustlers",30,"A","2020",12.4750666666667
"542","Y. Thungu","Rarita","DF","White Firebirds",21,"C","2020",12.4787666666667
"894","L. Kav?i?","Western Niasland","DF","Polar Kangaroos",27,"E","2020",12.4803
"275","H. Naluyima","Lenia Gerdanho","DF","Simple Privateers",24,"B","2020",12.4850333333333
"1509","Z. bin Zakaria","Esia","DF","Marvelous Anchors",29,"C","2021",12.4950666666667
"1683","K. bin Abu Bakar","Sobianitedrucy","MFDF","Coy Sunbirds",25,"D","2021",12.4984333333333
"1796","Q. Cheong","Lefghau","DF","Remarkable Flames",21,"D","2021",12.5045666666667
"274","J. Kinoshita","Czechnor","DF","Simple Privateers",31,"B","2020",12.5119
"1246","A. Palmieri","Landsfupua","DFMF","Glistening Paladins",34,"B","2021",12.5160333333333
"286","M. Chavula","Dosqaly","DF","Somber Stallions",30,"B","2020",12.5453
"953","R. Ueta","Sobianitedrucy","DF","Swift Bison",26,"E","2020",12.5579
"1147","X. Nazari","Ingre","DFFW","Old Mustangs",24,"A","2021",12.5635
"1554","D. Mészáros","Esia","DF","Silver Frogs",20,"C","2021",12.5679333333333
"2133","B. Opoka","Ngoque Blicri","DF","Red Anchormen",28,"RFL","2021",12.5681666666667
"471","N. Nanziri","Esia","DF","Silver Frogs",27,"C","2020",12.5741
"509","M. Schwartz","Slandsganiamayotteque","DF","Ultimate Dolphins",19,"C","2020",12.5818333333333
"775","M. Rojas","Dosqaly","DFMF","Wet Flames",19,"D","2020",12.5848666666667
"1717","K. Othman","Sobianitedrucy","DF","Flying Bombadiers",18,"D","2021",12.5852333333333
"1605","W. Longwe","Giumle Lizeibon","DF","Ultimate Longhorns",27,"C","2021",12.5921333333333
"672","B. Van der Meer","Esia","DF","Red Rangers",24,"D","2020",12.6035666666667
"329","B. Nassozi","Dosqaly","DF","Unethical Comets",34,"B","2020",12.621
"1344","G. Jumbe","Imaar Vircoand","DF","Solemn Leopards",21,"B","2021",12.6253
"1787","D. Caruso","Varijitri Isles","DF","Red Rangers",23,"D","2021",12.6281
"232","Q. Basemera","Dosqaly","DF","Lady Ocelots",35,"B","2020",12.6301666666667
"942","P. Paterson","Nganion","DFFW","Serious Magicians",30,"E","2020",12.6366
"1640","I. Diallo","Reugha","MFDF","White Firebirds",22,"C","2021",12.6388333333333
"592","H. Hsu","Sobianitedrucy","DF","Flying Bombadiers",17,"D","2020",12.6597333333333
"1351","W. Salamah","Lefghau","DFFW","Solemn Leopards",18,"B","2021",12.6644
"1335","N. Gumbo","People's Land of Maneau","DF","Simple Privateers",19,"B","2021",12.6648
"882","H. Nakafeero","Nganion","DF","Plane Janes",28,"E","2020",12.6659
"306","O. Cheah","Lefghau","FWDF","Supreme Janes",27,"B","2020",12.6701666666667
"34","G. Hernández","People's Land of Maneau","DF","Green Fleet",21,"A","2020",12.6787666666667
"1708","G. Matsika","Deshslands Landdenhai","DF","Flying Bombadiers",19,"D","2021",12.6791333333333
"1431","L. Akech","Dosqaly","DF","Wet Monarchs",23,"B","2021",12.6812666666667
"733","L. Vanags","Sobianitedrucy","DF","Spicy Pointers",32,"D","2020",12.6894
"105","B. Weiß","People's Land of Maneau","DF","Silver Heels",33,"A","2020",12.6895333333333
"2134","A. Mtambo","Rarita","DF","Red Anchormen",28,"RFL","2021",12.6920666666667
"833","R. Orlando","Nganion","DF","Horrible Bison",21,"E","2020",12.6945666666667
"1731","T. Moretti","Sobianitedrucy","DF","Hideous Spartans",21,"D","2021",12.6969
"2085","C. Popescu","Mico","MFDF","Swift Bison",31,"E","2021",12.7037333333333
"1408","M. Okori","Dosqaly","DF","Villainous Eagles",19,"B","2021",12.7108333333333
"986","T. Okoro","Rarita","DF","Black Coyotes",25,"RFL","2020",12.7122333333333
"1552","F. Santana","Dosqaly","DF","Silver Frogs",20,"C","2021",12.7134
"794","R. Tsao","Sobianitedrucy","DF","Delta Colts",25,"E","2020",12.7161
"253","U. Chen","Dosqaly","DF","Serious Thunderbirds",34,"B","2020",12.7249333333333
"412","Z. Donkor","Ingre","DF","Horrible Flames",20,"C","2020",12.7255666666667
"513","O. Kyomukama","Dosqaly","DF","Ultimate Longhorns",19,"C","2020",12.7353333333333
"394","Z. Mugeni","Galamily","DFMF","Blue Jaguars",27,"C","2020",12.7579666666667
"195","I. Chandra","Dosqaly","DF","Golden Rustlers",22,"B","2020",12.767
"2168","C. Busingye","Greri Landmoslands","DF","Wild Hornets",26,"RFL","2021",12.7696333333333
"110","Y. binti Ahmad","People's Land of Maneau","DFFW","Silver Heels",17,"A","2020",12.7849333333333
"98","W. Nakiyingi","People's Land of Maneau","DF","Punctual Rustlers",17,"A","2020",12.7900666666667
"1977","I. Beh","Greri Landmoslands","DF","Orange Giants",25,"E","2021",12.8012666666667
"1315","U. Chen","Dosqaly","DF","Serious Thunderbirds",35,"B","2021",12.8043666666667
"1437","D. Anyango","Redohrainbri","DF","Wet Monarchs",25,"B","2021",12.8089666666667
"1332","K. Ber","Dosqaly","DF","Simple Privateers",19,"B","2021",12.8106333333333
"150","J. Møller","Southslands","MFDF","Stacked Rocks",17,"A","2020",12.8119666666667
"1596","T. Kowalski","Manlisgamncent","DF","Ultimate Dolphins",20,"C","2021",12.8142333333333
"626","D. Saleh","Sobianitedrucy","DF","Marvelous Patriots",23,"D","2020",12.8316333333333
"2161","N. Tamura","Rarita","DF","Strong Oaks",28,"RFL","2021",12.8320333333333
"2070","L. Khonje","Nganion","DF","Serious Magicians",32,"E","2021",12.8528
"1511","G. Wahab","Dosqaly","DFMF","Marvelous Anchors",30,"C","2021",12.8575
"1321","G. Avraham","Dosqaly","MFDF","Serious Thunderbirds",22,"B","2021",12.8610333333333
"2107","L. Tambala","Rarita","DF","Educated Avengers",35,"RFL","2021",12.8622333333333
"967","F. Rosario","Nganion","DFMF","Swift Marauders",29,"E","2020",12.8627
"944","D. Horn","Dosqaly","DF","Swift Bison",28,"E","2020",12.8629333333333
"958","D. Gauthier","Lefghau","DF","Swift Marauders",30,"E","2020",12.8733
"1564","D. Steiner","Esia","DF","Spicy Gophers",25,"C","2021",12.8792333333333
"743","S. Candiru","Nganion","DF","Strange Pioneers",21,"D","2020",12.8871
"2146","F. Pagano","Rarita","DF","Serious Buffaloes",21,"RFL","2021",12.8907
